x,y,z
-36.34538,1.2117171,4.1657534
-36.38678,1.2192783,4.194614
-36.549873,1.1349006,4.161267
-36.63388,1.1113453,4.1700344
-36.740513,1.0715177,4.1684537
-36.85135,1.0293982,4.1660604
-36.95365,0.99437475,4.1690784
-37.038967,0.9724126,4.181299
-37.17613,0.9136486,4.1702433
-37.33075,0.8435316,4.1528563
-37.4119,0.82675886,4.1705112
-37.580887,0.7486956,4.1500254
-37.69361,0.71127844,4.156164
-37.84552,0.6475296,4.146766
-33.247158,0.88616896,2.6651525
-33.11045,1.1794527,2.950036
-33.067833,1.3145795,3.0859194
-33.041656,1.4202242,3.193883
-33.084652,1.4157889,3.1989942
-33.17909,1.3328681,3.1312995
-33.21891,1.3347628,3.1427712
-33.24147,1.3624475,3.1782503
-33.25691,1.4000139,3.2228827
-33.276745,1.4303513,3.2608404
-33.303432,1.4502199,3.2891912
-33.332592,1.4662135,3.3140502
-33.356842,1.4887929,3.3450055
-33.3883,1.5009859,3.3665328
-33.423397,1.5080516,3.3834887
-33.462727,1.5093694,3.395347
-33.50399,1.5082116,3.405109
-33.548717,1.5026538,3.4110594
-33.585087,1.5082057,3.4271874
-33.627396,1.5061314,3.4365993
-33.64492,1.5356727,3.4744678
-33.6799,1.5427737,3.4923177
-33.725616,1.5365295,3.4984164
-33.772472,1.5291576,3.5037065
-33.81471,1.5276766,3.5144043
-33.856968,1.5263271,3.5253882
-33.89711,1.527647,3.538887
-33.939934,1.5259225,3.5498757
-33.98714,1.5192797,3.556745
-34.02291,1.5260315,3.5754747
-34.07687,1.5121276,3.5764203
-34.144997,1.4827297,3.5642266
-34.237785,1.426678,3.529427
-34.295048,1.4109926,3.5297828
-34.366856,1.3799386,3.517271
-34.387177,1.4051163,3.553043
-34.388515,1.4501574,3.6056976
-34.396233,1.4876938,3.6519017
-34.425255,1.5023508,3.678771
-34.456444,1.5146103,3.7037153
-34.49225,1.5220342,3.7247205
-34.5207,1.5369096,3.7520638
-34.552574,1.5481825,3.7765055
-34.58858,1.5552716,3.7976022
-34.62201,1.5648952,3.820922
-34.65592,1.5740027,3.8439422
-34.693443,1.579576,3.8642082
-34.73404,1.5822468,3.8822718
-34.768875,1.5904584,3.9049854
-34.808064,1.5945709,3.9245381
-34.85554,1.5910296,3.9381337
-34.898533,1.5918288,3.9554114
-34.93955,1.5945547,3.9744124
-34.98838,1.5902946,3.9880867
-35.035946,1.5873907,4.0030627
-35.071594,1.595268,4.026688
-35.134495,1.5791416,4.031815
-36.34311,0.7053485,3.4406695
-36.279823,0.8047302,3.5383258
-36.286392,0.8442066,3.5903716
-36.287544,0.88765717,3.6453066
-36.295086,0.92528415,3.695797
-36.312645,0.9542792,3.7398443
-36.32061,0.9906919,3.789338
-36.28046,1.0651507,3.8665032
-36.292877,1.0968139,3.9122458
-36.30414,1.1290224,3.9583516
-36.325058,1.1533234,3.998767
-36.32169,1.1961677,4.0523877
-36.324303,1.23388,4.1022444
-36.360836,1.2453272,4.13361
-36.362587,1.2829924,4.1833634
-36.474075,1.2380984,4.176028
-36.567516,1.207494,4.1792192
-36.703148,1.1465039,4.1623473
-36.790737,1.1217456,4.17085
-36.905743,1.0777051,4.167001
-37.013695,1.0396178,4.1678786
-37.10002,1.0177269,4.1801424
-37.232426,0.96379566,4.1720314
-37.395386,0.8894794,4.15163
-37.548424,0.8234284,4.1376953
-37.623276,0.81256914,4.15997
-37.80781,0.7269783,4.1355796
-37.916843,0.6942122,4.145538
-38.02935,0.6598127,4.155229
-33.26021,0.8975556,2.6327825
-33.085495,1.2504647,2.9765682
-33.071182,1.3393419,3.069787
-33.077854,1.3930802,3.1296864
-33.10847,1.4085546,3.153532
-33.168255,1.3793783,3.1355643
-33.21275,1.3740513,3.1401901
