,Unnamed: 0,x,y,z
339,29875,-2.019694,4.5136776,2.2021062
340,29876,-1.986802,4.514255,2.1964679
341,29877,-1.9525257,4.511239,2.1892183
342,29878,-1.9445076,4.5694623,2.2113695
343,29879,-1.9203161,4.590597,2.2157996
344,29880,-1.8514199,4.503235,2.1686783
345,29881,-1.7960032,4.4457593,2.1360557
346,29882,-1.7869095,4.502642,2.157804
347,29883,-1.7552623,4.503287,2.1529713
348,29884,-1.7184439,4.4900336,2.1416943
349,29887,-1.6302167,4.5062704,2.1348476
350,29888,-1.5930551,4.4894443,2.1223624
351,29890,-1.5334144,4.49566,2.116321
352,29894,-1.3245754,4.219269,1.9721379
353,29895,-1.2739583,4.146813,1.9350852
354,29896,-1.2455955,4.1449084,1.930655
355,29897,-1.2165307,4.1401777,1.9250165
356,29898,-1.1855522,4.1282077,1.916156
357,29899,-1.1567422,4.1230655,1.9105177
358,29900,-1.1261078,4.1106625,1.9016572
359,29901,-1.0975584,4.105114,1.8960187
360,29902,-1.0716571,4.1091137,1.8948106
361,29903,-1.0450723,4.110289,1.8923941
362,29904,-1.0178542,4.1086273,1.8887693
363,29905,-0.98919535,4.100558,1.8823254
364,29906,-0.962554,4.100312,1.8795061
365,29907,-0.93595296,4.099894,1.8766869
366,29908,-0.91018504,4.102879,1.8754786
367,29909,-0.8848007,4.1074915,1.8750759
368,29910,-0.85827225,4.106571,1.8722568
369,29911,-0.8319699,4.106377,1.8698403
370,29912,-0.8051745,4.1033206,1.8662155
371,29913,-0.7779367,4.097392,1.8613826
372,29914,-0.7514617,4.094886,1.8581606
373,29915,-0.7266406,4.101222,1.8589661
374,29916,-0.70100075,4.1028967,1.8577578
375,29917,-0.6756643,4.1062174,1.8573551
376,29918,-0.6501708,4.1084776,1.8565496
377,29919,-0.6249494,4.1123896,1.8565496
378,29920,-0.5991779,4.112524,1.8549386
379,29921,-0.5721673,4.1034307,1.8493001
380,29922,-0.54661673,4.104142,1.848092
381,29923,-0.5221137,4.1128674,1.8505083
382,29924,-0.49675837,4.1150846,1.8501056
383,29925,-0.4708765,4.112599,1.8476892
384,29926,-0.4457314,4.1163206,1.848092
385,29927,-0.42083633,4.1226206,1.8497028
386,29928,-0.3954454,4.124214,1.8493001
387,29929,-0.3698879,4.123828,1.848092
